,posicionamento,Regiao,ano,voto_count,Total,voto_norm
422,Esquerda,Nordeste,2009,1945,289433.0,0.6720035379517885
27,Centro,Nordeste,2010,499,289433.0,0.17240604906835086
127,Centro-direita,Nordeste,2010,900,289433.0,0.3109527939108533
225,Centro-esquerda,Nordeste,2010,425,289433.0,0.14683881934679183
323,Direita,Nordeste,2010,1641,289433.0,0.5669705942307892
423,Esquerda,Nordeste,2010,971,289433.0,0.3354835143193762
28,Centro,Nordeste,2011,2369,289433.0,0.8184968541942349
128,Centro-direita,Nordeste,2011,829,289433.0,0.2864220735023304
226,Centro-esquerda,Nordeste,2011,552,289433.0,0.19071771359865666
324,Direita,Nordeste,2011,808,289433.0,0.2791665083110772
424,Esquerda,Nordeste,2011,1905,289433.0,0.6581834137779727
29,Centro,Nordeste,2012,1819,289433.0,0.628470146804269
129,Centro-direita,Nordeste,2012,581,289433.0,0.20073730362467307
227,Centro-esquerda,Nordeste,2012,617,289433.0,0.2131754153811072
325,Direita,Nordeste,2012,920,289433.0,0.31786285599776115
425,Esquerda,Nordeste,2012,1377,289433.0,0.4757577746836055
30,Centro,Nordeste,2013,4048,289433.0,1.398596566390149
130,Centro-direita,Nordeste,2013,1059,289433.0,0.3658877875017707
228,Centro-esquerda,Nordeste,2013,1585,289433.0,0.5476224203874472
326,Direita,Nordeste,2013,1723,289433.0,0.5953018487871113
426,Esquerda,Nordeste,2013,3023,289433.0,1.0444558844361216
31,Centro,Nordeste,2014,1942,289433.0,0.6709670286387523
131,Centro-direita,Nordeste,2014,470,289433.0,0.1623864590423345
229,Centro-esquerda,Nordeste,2014,807,289433.0,0.27882100520673175
327,Direita,Nordeste,2014,371,289433.0,0.12818165171214063
427,Esquerda,Nordeste,2014,1650,289433.0,0.5700801221698977
32,Centro,Nordeste,2015,5761,289433.0,1.9904433841338065
132,Centro-direita,Nordeste,2015,1754,289433.0,0.6060124450218185
230,Centro-esquerda,Nordeste,2015,4408,289433.0,1.5229776839544902
328,Direita,Nordeste,2015,1660,289433.0,0.5735351532133517
428,Esquerda,Nordeste,2015,5218,289433.0,1.8028351984742583
33,Centro,Nordeste,2016,3161,289433.0,1.0921353128357858
133,Centro-direita,Nordeste,2016,1988,289433.0,0.6868601714386403
231,Centro-esquerda,Nordeste,2016,3421,289433.0,1.181966119965588
329,Direita,Nordeste,2016,1251,289433.0,0.4322243835360861
429,Esquerda,Nordeste,2016,2969,289433.0,1.0257987168014704
34,Centro,Nordeste,2017,5318,289433.0,1.8373855089087974
134,Centro-direita,Nordeste,2017,2037,289433.0,0.7037898235515646
232,Centro-esquerda,Nordeste,2017,4072,289433.0,1.4068886408944385
330,Direita,Nordeste,2017,1579,289433.0,0.5455494017613748
430,Esquerda,Nordeste,2017,3152,289433.0,1.0890257848966773
35,Centro,Nordeste,2018,3083,289433.0,1.0651860706968452
135,Centro-direita,Nordeste,2018,1358,289433.0,0.4691932157010431
233,Centro-esquerda,Nordeste,2018,1812,289433.0,0.6260516250738513
331,Direita,Nordeste,2018,920,289433.0,0.31786285599776115
431,Esquerda,Nordeste,2018,1861,289433.0,0.6429812771867756
36,Centro,Nordeste,2019,4222,289433.0,1.4587141065462474
136,Centro-direita,Nordeste,2019,4707,289433.0,1.6262831121537626
234,Centro-esquerda,Nordeste,2019,5964,289433.0,2.0605805143159213
332,Direita,Nordeste,2019,1423,289433.0,0.4916509174834936
432,Esquerda,Nordeste,2019,5057,289433.0,1.7472091986746503
37,Centro,Nordeste,2020,10157,289433.0,3.5092750308361524
137,Centro-direita,Nordeste,2020,9055,289433.0,3.1285306098475294
235,Centro-esquerda,Nordeste,2020,8334,289433.0,2.8794228716145014
333,Direita,Nordeste,2020,6798,289433.0,2.3487301033399786
433,Esquerda,Nordeste,2020,6810,289433.0,2.3528761405921235
38,Centro,Nordeste,2021,17769,289433.0,6.13924466111328
138,Centro-direita,Nordeste,2021,13614,289433.0,4.703679262558174
236,Centro-esquerda,Nordeste,2021,14917,289433.0,5.153869807520221
334,Direita,Nordeste,2021,14492,289433.0,5.007030988173429
434,Esquerda,Nordeste,2021,14017,289433.0,4.842917013609367
39,Centro,Nordeste,2022,5426,289433.0,1.8746998441780998
139,Centro-direita,Nordeste,2022,3217,289433.0,1.1114834866791279
237,Centro-esquerda,Nordeste,2022,4729,289433.0,1.6338841804493613
335,Direita,Nordeste,2022,3819,289433.0,1.3194763554950542
435,Esquerda,Nordeste,2022,5267,289433.0,1.8197648505871824
40,Centro,Norte,2003,361,123437.0,0.29245688083799837
140,Centro-direita,Norte,2003,114,123437.0,0.09235480447515737
238,Centro-esquerda,Norte,2003,61,123437.0,0.049417921692847366
336,Direita,Norte,2003,282,123437.0,0.22845662159644192
436,Esquerda,Norte,2003,272,123437.0,0.22035532295827023
41,Centro,Norte,2004,826,123437.0,0.6691672675129824
141,Centro-direita,Norte,2004,132,123437.0,0.10693714202386644
239,Centro-esquerda,Norte,2004,175,123437.0,0.14177272616800474
337,Direita,Norte,2004,699,123437.0,0.5662807748082018
437,Esquerda,Norte,2004,585,123437.0,0.4739259703330444
42,Centro,Norte,2005,604,123437.0,0.48931843774557066
142,Centro-direita,Norte,2005,278,123437.0,0.2252161021411732
240,Centro-esquerda,Norte,2005,59,123437.0,0.047797661965213026
338,Direita,Norte,2005,528,123437.0,0.42774856809546574
438,Esquerda,Norte,2005,415,123437.0,0.3362038934841255
43,Centro,Norte,2006,773,123437.0,0.6262303847306724
143,Centro-direita,Norte,2006,543,123437.0,0.43990051605272323
241,Centro-esquerda,Norte,2006,129,123437.0,0.10450675243241492
339,Direita,Norte,2006,554,123437.0,0.44881194455471213
439,Esquerda,Norte,2006,469,123437.0,0.3799509061302527
44,Centro,Norte,2007,486,123437.0,0.3937231138151445
